ID;n_vertices;largo;ancho;clase
J1;1;14;3;0
J2;1;10;4;0
J3;5;4,5;5;2
J4;1;8;4;0
J5;1;10;6;0
J6;1;3;1;0
J7;33;10;4;3
J8;1;4;2,5;1
J9;1;8,5;6;1
J10;1;15;8,5;0
J11;1;6,5;3;0
J12;1;4,5;1,5;1
D1;1;8,6;6;0
D2;1;20;8;0
D3;1;3;1,8;0
D4;5;5,5;6,2;2
D5;3;10,5;11,5;2
D6;1;7;2,5;0
D7;1;3,5;1,1;0
D8;7;7;6;2
V1;1;9,5;7;1
V2;1;14;3,5;0
V3;1;8,8;3;0
V4;3;4,5;3,8;2
V5;1;3,3;2,7;1
V6;1;8,8;2,8;0
SG1;3;3;3,2;2
SG2;1;19;10;1
SG3;3;8;9;2
SG4;1;6,8;2,9;1
SG5;3;7,5;9;2
SG6;5;5;4,5;2
SG7;1;3,5;2;0
S1;28;5;0,5;2
S2;1;7;4,2;0
S3;1;3,7;2,1;1
S4;1;4,3;1,4;0
S5;5;9;7;2
S6;3;5,5;6;2
